net,length_um
clknet_2_1_0_clk,1208.85
clknet_2_0_0_clk,1185.94
clknet_2_2_0_clk,1109.33
clknet_0_clk,1095.51
clknet_2_3_0_clk,1077
clk,838.58
_25863_,386.255
_13980_,371.82
clknet_6_1_0_clk,362.84
clknet_6_2_0_clk,359.44
clknet_6_9_0_clk,359.28
_16472_,354.62
_11548_,350.24
_24511_,349.48
_26462_,344.47
clknet_6_29_0_clk,337.65
clknet_6_4_0_clk,321.69
clknet_6_28_0_clk,320.34
clknet_6_11_0_clk,320.09
clknet_6_23_0_clk,319.63
clknet_6_30_0_clk,317
clknet_6_18_0_clk,313.63
_09948_,313.56
_12455_,311.835
_18259_,308.415
clknet_6_13_0_clk,306.6
net3945,305
clknet_6_25_0_clk,304.4
clknet_6_31_0_clk,302.09
_25807_,301.61
clknet_6_55_0_clk,300.64
clknet_6_15_0_clk,298.68
clknet_6_62_0_clk,294.87
clknet_6_58_0_clk,292.38
clknet_6_12_0_clk,287.74
clknet_6_20_0_clk,286.39
_10956_,280.54
clknet_6_8_0_clk,279.8
clknet_6_10_0_clk,279.64
clknet_6_22_0_clk,279.585
clknet_6_24_0_clk,279.04
_10471_,278.745
_19261_,278.025
clknet_6_19_0_clk,276.38
_14198_,273.905
clknet_6_5_0_clk,273.72
clknet_6_26_0_clk,273.63
_14772_,273.44
clknet_6_17_0_clk,273.06
clknet_6_6_0_clk,272.52
net3974,272.26
_16221_,270.68
_10637_,270.525
_15998_,270.4
genblk4\[1\].I2C_b.o_scl,270.09
_10690_,269.64
clknet_6_42_0_clk,264.92
_10452_,264.86
_12898_,264.24
clknet_6_14_0_clk,263.51
_18528_,262.05
_26417_,261.63
clknet_6_46_0_clk,260.96
clknet_6_16_0_clk,258.64
_12097_,256.76
clknet_6_0_0_clk,256.31
_10515_,252.29
clknet_6_43_0_clk,249.35
_11678_,248.56
clknet_6_7_0_clk,244.98
_12473_,242.35
_10596_,242.12
_12251_,241.98
_12174_,238.575
clknet_6_27_0_clk,236.78
_27030_,236.56
_09946_,236.28
_22971_,236.03
clknet_6_48_0_clk,235.55
clknet_6_54_0_clk,234.5
_22743_,230.6
_15487_,230.35
_15084_,230.095
clknet_6_51_0_clk,229.36
net4687,227.91
_24733_,227.73
clknet_6_56_0_clk,226.22
clknet_6_21_0_clk,225.82
net1213,225.43
_12453_,225.4
_10478_,225.12
_12331_,224.69
_20675_,224.62
_10935_,223.81
_15261_,223.12
_06236_,221.87
clknet_6_38_0_clk,220.7
net3700,217.52
net1894,216.07
_12373_,215.965
_10034_,214.96
net3018,214.68
clknet_6_36_0_clk,214.28
_11092_,214.115
_12491_,213.63
_10687_,213.16
_13432_,213.01
clknet_6_37_0_clk,212.92
net4702,210.555
_23405_,210.52
_12022_,210.15
_24739_,209.91
_21070_,209.54
clknet_6_34_0_clk,208.97
_10695_,208.82
net3094,208.57
_14350_,208.44
_20682_,208.25
net2477,208.21
net2309,207.77
net4391,207.52
net1318,207.36
genblk4\[0\].I2C_b.o_scl,207.24
_12574_,207.17
net3337,206.62
_11164_,206.53
net3474,206.5
net4511,206.48
_16791_,206.37
_21301_,206.18
net3213,205.95
_10976_,205.56
net3116,205.38
net736,204.77
net4513,204.44
net2712,204.36
net2364,204.32
net3738,204.16
net3383,204.02
net3877,203.94
_22750_,203.23
net3053,203.09
net3658,202.81
_21073_,202.4
net4615,202.14
net1303,201.79
_10729_,201.605
_10374_,201.545
net1905,201.51
net2384,201.05
net3381,201.01
genblk6\[1\].PWM_b.pg1.clk,200.84
net2894,200.84
net3592,200.8
net4627,200.42
_18182_,200.18
net1721,200.03
net3499,199.84
_12411_,199.76
net3389,199.49
net3254,199.34
clknet_6_44_0_clk,199.16
net3250,199.06
net2525,199
net4820,198.515
net2701,198.42
net1478,198.36
net3444,198.32
net4443,197.96
net4522,197.94
net3638,197.81
net3043,197.61
net3185,197.59
net2558,197.54
net4399,197.54
net3398,197.48
net3310,197.22
clknet_6_50_0_clk,197.18
net4535,196.57
net1890,196.53
net3526,196.4
net4678,196.16
net4517,196.04
net3232,195.9
net3497,195.3
net3279,195.29
net3374,195.25
net2524,195.03
net4641,194.9
_21359_,194.87
net3296,194.87
_09627_,194.755
net4804,194.605
net4422,194.31
_15997_,194.26
_15666_,194.12
net1313,194.1
net1982,194.06
net1300,194.04
net2626,193.695
net3407,193.6
net2597,193.58
net1856,193.52
_15590_,193.3
net4504,193.12
net2530,193.08
net4401,193.06
net3138,192.97
net4824,192.945
net2008,192.86
net1706,192.71
net3453,192.65
net3666,192.56
net2857,192.36
net3054,192.23
net4611,192.16
net3828,192.11
net3264,192.1
net2557,191.97
net3766,191.97
net3498,191.85
net2365,191.84
net3282,191.52
net4812,191.495
net4830,191.435
net809,191.3
net1999,191.22
net3989,191.02
net1930,190.92
net2306,190.89
net2145,190.825
net3107,190.81
_10393_,190.74
net3528,190.72
net3342,190.56
_10160_,190.52
clknet_6_47_0_clk,190.52
_15404_,190.5
net2501,190.44
net4847,190.35
